BSB Number,Account Number,Transaction Date,Narration,Cheque Number,Debit,Credit,Balance,Transaction Type
000-000,9999999,12/12/2025,SALARY EMPLOYER PAYROLL,,,2476.84,432515.24,PAY
000-000,9999999,10/12/2025,IB TRANSFER TO SAVINGS,,-381.09,,430038.4,TFD
000-000,9999999,05/12/2025,SALARY EMPLOYER PAYROLL,,,2568.52,430419.49,PAY
000-000,9999999,04/12/2025,SALARY EMPLOYER PAYROLL,,,2403.52,427850.97,PAY
000-000,9999999,03/12/2025,SALARY EMPLOYER PAYROLL,,,2543.2,425447.45,PAY
000-000,9999999,02/12/2025,SALARY EMPLOYER PAYROLL,,,2471.43,422904.25,PAY
000-000,9999999,01/12/2025,SALARY EMPLOYER PAYROLL,,,2476.38,420732.82,PAY
000-000,9999999,01/12/2025,RENT,,-300.0,,420432.82,WDL
000-000,9999999,28/11/2025,SALARY EMPLOYER PAYROLL,,,2567.95,418256.44,PAY
000-000,9999999,26/11/2025,SALARY EMPLOYER PAYROLL,,,2539.91,415688.49,PAY
000-000,9999999,24/11/2025,SALARY EMPLOYER PAYROLL,,,2541.22,413148.58,PAY
000-000,9999999,23/11/2025,SALARY EMPLOYER PAYROLL,,,2498.63,410607.36,PAY
000-000,9999999,21/11/2025,SALARY EMPLOYER PAYROLL,,,2488.25,408108.73,PAY
000-000,9999999,19/11/2025,SALARY EMPLOYER PAYROLL,,,2495.85,405620.48,PAY
000-000,9999999,17/11/2025,SALARY EMPLOYER PAYROLL,,,2407.27,403124.63,PAY
000-000,9999999,16/11/2025,SALARY EMPLOYER PAYROLL,,,2405.25,400717.36,PAY
000-000,9999999,15/11/2025,SALARY EMPLOYER PAYROLL,,,2508.34,398312.11,PAY
000-000,9999999,14/11/2025,SALARY EMPLOYER PAYROLL,,,2562.28,395803.77,PAY
000-000,9999999,13/11/2025,SALARY EMPLOYER PAYROLL,,,2568.06,393241.49,PAY
000-000,9999999,12/11/2025,SALARY EMPLOYER PAYROLL,,,2572.99,390673.43,PAY
000-000,9999999,10/11/2025,SALARY EMPLOYER PAYROLL,,,2400.41,388100.44,PAY
000-000,9999999,09/11/2025,SALARY EMPLOYER PAYROLL,,,2572.8,385700.03,PAY
000-000,9999999,08/11/2025,SALARY EMPLOYER PAYROLL,,,2509.15,383127.23,PAY
000-000,9999999,07/11/2025,SALARY EMPLOYER PAYROLL,,,2563.05,380618.08,PAY
000-000,9999999,03/11/2025,RENT,,-300.0,,378055.03,WDL
000-000,9999999,02/11/2025,SALARY EMPLOYER PAYROLL,,,2546.75,378355.03,PAY
000-000,9999999,31/10/2025,SALARY EMPLOYER PAYROLL,,,2488.11,375808.28,PAY
000-000,9999999,30/10/2025,SALARY EMPLOYER PAYROLL,,,2455.91,373320.17,PAY
000-000,9999999,29/10/2025,SALARY EMPLOYER PAYROLL,,,2437.39,370864.26,PAY
000-000,9999999,28/10/2025,SALARY EMPLOYER PAYROLL,,,2408.66,368426.87,PAY
000-000,9999999,26/10/2025,SALARY EMPLOYER PAYROLL,,,2408.56,366018.21,PAY
000-000,9999999,23/10/2025,SALARY EMPLOYER PAYROLL,,,2562.24,363609.65,PAY
000-000,9999999,22/10/2025,SALARY EMPLOYER PAYROLL,,,2536.43,361047.41,PAY
000-000,9999999,20/10/2025,SALARY EMPLOYER PAYROLL,,,2407.39,358510.98,PAY
000-000,9999999,18/10/2025,SALARY EMPLOYER PAYROLL,,,2477.02,356103.59,PAY
000-000,9999999,17/10/2025,SALARY EMPLOYER PAYROLL,,,2466.35,353626.57,PAY
000-000,9999999,12/10/2025,SALARY EMPLOYER PAYROLL,,,2451.89,351160.22,PAY
000-000,9999999,11/10/2025,IB TRANSFER TO SAVINGS,,-371.2,,348708.33,TFD
000-000,9999999,10/10/2025,SALARY EMPLOYER PAYROLL,,,2424.75,349079.53,PAY
000-000,9999999,09/10/2025,SALARY EMPLOYER PAYROLL,,,2569.08,346654.78,PAY
000-000,9999999,05/10/2025,SALARY EMPLOYER PAYROLL,,,2525.24,344085.7,PAY
000-000,9999999,04/10/2025,SALARY EMPLOYER PAYROLL,,,2499.09,341560.46,PAY
000-000,9999999,02/10/2025,SALARY EMPLOYER PAYROLL,,,2495.87,339061.37,PAY
000-000,9999999,30/09/2025,SALARY EMPLOYER PAYROLL,,,2594.07,336883.64,PAY
000-000,9999999,30/09/2025,IB TRANSFER TO SAVINGS,,-318.14,,336565.5,TFD
000-000,9999999,29/09/2025,SALARY EMPLOYER PAYROLL,,,2430.48,334289.57,PAY
000-000,9999999,19/09/2025,SALARY EMPLOYER PAYROLL,,,2520.64,331859.09,PAY
000-000,9999999,18/09/2025,SALARY EMPLOYER PAYROLL,,,2415.4,329338.45,PAY
000-000,9999999,17/09/2025,SALARY EMPLOYER PAYROLL,,,2508.34,326923.05,PAY
000-000,9999999,12/09/2025,SALARY EMPLOYER PAYROLL,,,2594.61,324414.71,PAY
000-000,9999999,08/09/2025,SALARY EMPLOYER PAYROLL,,,2527.89,321820.1,PAY
000-000,9999999,06/09/2025,SALARY EMPLOYER PAYROLL,,,2579.24,319292.21,PAY
000-000,9999999,05/09/2025,SALARY EMPLOYER PAYROLL,,,2460.02,316712.97,PAY
000-000,9999999,03/09/2025,SALARY EMPLOYER PAYROLL,,,2491.32,314252.95,PAY
000-000,9999999,02/09/2025,SALARY EMPLOYER PAYROLL,,,2578.26,311761.63,PAY
000-000,9999999,01/09/2025,SALARY EMPLOYER PAYROLL,,,2539.73,309183.37,PAY
000-000,9999999,28/08/2025,SALARY EMPLOYER PAYROLL,,,2562.14,306643.64,PAY
000-000,9999999,24/08/2025,SALARY EMPLOYER PAYROLL,,,2444.18,304081.5,PAY
000-000,9999999,23/08/2025,SALARY EMPLOYER PAYROLL,,,2464.97,301637.32,PAY
000-000,9999999,20/08/2025,SALARY EMPLOYER PAYROLL,,,2591.09,299172.35,PAY
000-000,9999999,19/08/2025,SALARY EMPLOYER PAYROLL,,,2478.51,296581.26,PAY
000-000,9999999,18/08/2025,RENT,,-300.0,,294102.75,WDL
000-000,9999999,17/08/2025,SALARY EMPLOYER PAYROLL,,,2532.84,294402.75,PAY
000-000,9999999,14/08/2025,SALARY EMPLOYER PAYROLL,,,2419.92,291869.91,PAY
000-000,9999999,11/08/2025,SALARY EMPLOYER PAYROLL,,,2477.05,289449.99,PAY
000-000,9999999,10/08/2025,SALARY EMPLOYER PAYROLL,,,2543.19,286972.94,PAY
000-000,9999999,06/08/2025,IB TRANSFER TO SAVINGS,,-461.53,,284429.75,TFD
000-000,9999999,05/08/2025,SALARY EMPLOYER PAYROLL,,,2511.97,284891.28,PAY
000-000,9999999,31/07/2025,SALARY EMPLOYER PAYROLL,,,2410.14,282379.31,PAY
000-000,9999999,28/07/2025,SALARY EMPLOYER PAYROLL,,,2479.98,280269.17,PAY
000-000,9999999,28/07/2025,RENT,,-300.0,,279969.17,WDL
000-000,9999999,23/07/2025,SALARY EMPLOYER PAYROLL,,,2460.35,277789.19,PAY
000-000,9999999,21/07/2025,SALARY EMPLOYER PAYROLL,,,2505.13,275328.84,PAY
000-000,9999999,20/07/2025,SALARY EMPLOYER PAYROLL,,,2439.1,272823.71,PAY
000-000,9999999,19/07/2025,SALARY EMPLOYER PAYROLL,,,2576.26,270384.61,PAY
000-000,9999999,16/07/2025,SALARY EMPLOYER PAYROLL,,,2434.16,267808.35,PAY
000-000,9999999,14/07/2025,SALARY EMPLOYER PAYROLL,,,2435.29,265674.19,PAY
000-000,9999999,14/07/2025,RENT,,-300.0,,265374.19,WDL
000-000,9999999,13/07/2025,SALARY EMPLOYER PAYROLL,,,2589.62,263238.9,PAY
000-000,9999999,10/07/2025,SALARY EMPLOYER PAYROLL,,,2587.37,260649.28,PAY
000-000,9999999,08/07/2025,SALARY EMPLOYER PAYROLL,,,2542.76,258324.96,PAY
000-000,9999999,08/07/2025,IB TRANSFER TO SAVINGS,,-263.05,,258061.91,TFD
000-000,9999999,07/07/2025,SALARY EMPLOYER PAYROLL,,,2531.58,256082.2,PAY
000-000,9999999,07/07/2025,RENT,,-300.0,,255782.2,WDL
000-000,9999999,06/07/2025,SALARY EMPLOYER PAYROLL,,,2504.28,253550.62,PAY
000-000,9999999,04/07/2025,SALARY EMPLOYER PAYROLL,,,2505.31,251046.34,PAY
000-000,9999999,03/07/2025,SALARY EMPLOYER PAYROLL,,,2504.46,248541.03,PAY
000-000,9999999,30/06/2025,IB TRANSFER TO SAVINGS,,-448.67,,246036.57,TFD
000-000,9999999,29/06/2025,SALARY EMPLOYER PAYROLL,,,2407.51,246485.24,PAY
000-000,9999999,25/06/2025,SALARY EMPLOYER PAYROLL,,,2479.52,244077.73,PAY
000-000,9999999,24/06/2025,SALARY EMPLOYER PAYROLL,,,2578.56,241598.21,PAY
000-000,9999999,23/06/2025,RENT,,-300.0,,239019.65,WDL
000-000,9999999,19/06/2025,SALARY EMPLOYER PAYROLL,,,2425.66,239319.65,PAY
000-000,9999999,18/06/2025,SALARY EMPLOYER PAYROLL,,,2580.07,236893.99,PAY
000-000,9999999,17/06/2025,IB TRANSFER TO SAVINGS,,-472.99,,234313.92,TFD
000-000,9999999,16/06/2025,RENT,,-300.0,,234786.91,WDL
000-000,9999999,14/06/2025,SALARY EMPLOYER PAYROLL,,,2568.29,235086.91,PAY
000-000,9999999,12/06/2025,SALARY EMPLOYER PAYROLL,,,2410.72,232518.62,PAY
000-000,9999999,11/06/2025,SALARY EMPLOYER PAYROLL,,,2527.03,230107.9,PAY
000-000,9999999,10/06/2025,SALARY EMPLOYER PAYROLL,,,2451.59,227580.87,PAY
000-000,9999999,09/06/2025,SALARY EMPLOYER PAYROLL,,,2465.19,225129.28,PAY
000-000,9999999,06/06/2025,SALARY EMPLOYER PAYROLL,,,2407.39,222664.09,PAY
000-000,9999999,02/06/2025,SALARY EMPLOYER PAYROLL,,,2520.9,220256.7,PAY
000-000,9999999,31/05/2025,SALARY EMPLOYER PAYROLL,,,2428.92,217735.8,PAY
000-000,9999999,30/05/2025,SALARY EMPLOYER PAYROLL,,,2488.91,215306.88,PAY
000-000,9999999,29/05/2025,SALARY EMPLOYER PAYROLL,,,2546.65,213088.29,PAY
000-000,9999999,29/05/2025,IB TRANSFER TO SAVINGS,,-270.32,,212817.97,TFD
000-000,9999999,28/05/2025,SALARY EMPLOYER PAYROLL,,,2404.98,210541.64,PAY
000-000,9999999,27/05/2025,SALARY EMPLOYER PAYROLL,,,2483.72,208136.66,PAY
000-000,9999999,26/05/2025,RENT,,-300.0,,205652.94,WDL
000-000,9999999,22/05/2025,SALARY EMPLOYER PAYROLL,,,2573.83,205952.94,PAY
000-000,9999999,21/05/2025,SALARY EMPLOYER PAYROLL,,,2598.77,203379.11,PAY
000-000,9999999,20/05/2025,SALARY EMPLOYER PAYROLL,,,2524.61,200780.34,PAY
000-000,9999999,19/05/2025,RENT,,-300.0,,198255.73,WDL
000-000,9999999,18/05/2025,SALARY EMPLOYER PAYROLL,,,2474.73,198555.73,PAY
000-000,9999999,16/05/2025,SALARY EMPLOYER PAYROLL,,,2416.56,196081.0,PAY
000-000,9999999,15/05/2025,SALARY EMPLOYER PAYROLL,,,2541.03,193825.02,PAY
000-000,9999999,15/05/2025,IB TRANSFER TO SAVINGS,,-160.58,,193664.44,TFD
000-000,9999999,13/05/2025,SALARY EMPLOYER PAYROLL,,,2450.75,191283.99,PAY
000-000,9999999,12/05/2025,SALARY EMPLOYER PAYROLL,,,2508.74,188833.24,PAY
000-000,9999999,10/05/2025,SALARY EMPLOYER PAYROLL,,,2479.67,186324.5,PAY
000-000,9999999,05/05/2025,SALARY EMPLOYER PAYROLL,,,2404.33,183844.83,PAY
000-000,9999999,04/05/2025,SALARY EMPLOYER PAYROLL,,,2413.09,181858.79,PAY
000-000,9999999,04/05/2025,IB TRANSFER TO SAVINGS,,-418.29,,181440.5,TFD
000-000,9999999,02/05/2025,SALARY EMPLOYER PAYROLL,,,2493.99,179445.7,PAY
000-000,9999999,01/05/2025,SALARY EMPLOYER PAYROLL,,,2592.56,176951.71,PAY
000-000,9999999,30/04/2025,SALARY EMPLOYER PAYROLL,,,2528.01,174359.15,PAY
000-000,9999999,28/04/2025,SALARY EMPLOYER PAYROLL,,,2434.12,171831.14,PAY
000-000,9999999,26/04/2025,SALARY EMPLOYER PAYROLL,,,2491.75,169397.02,PAY
000-000,9999999,25/04/2025,SALARY EMPLOYER PAYROLL,,,2597.6,166905.27,PAY
000-000,9999999,24/04/2025,SALARY EMPLOYER PAYROLL,,,2402.65,164307.67,PAY
000-000,9999999,23/04/2025,SALARY EMPLOYER PAYROLL,,,2493.06,161905.02,PAY
000-000,9999999,20/04/2025,SALARY EMPLOYER PAYROLL,,,2578.68,159411.96,PAY
000-000,9999999,19/04/2025,SALARY EMPLOYER PAYROLL,,,2411.81,156833.28,PAY
000-000,9999999,18/04/2025,SALARY EMPLOYER PAYROLL,,,2506.33,154421.47,PAY
000-000,9999999,17/04/2025,SALARY EMPLOYER PAYROLL,,,2532.3,151915.14,PAY
000-000,9999999,12/04/2025,SALARY EMPLOYER PAYROLL,,,2469.0,149382.84,PAY
000-000,9999999,11/04/2025,SALARY EMPLOYER PAYROLL,,,2518.63,146913.84,PAY
000-000,9999999,10/04/2025,SALARY EMPLOYER PAYROLL,,,2463.81,144395.21,PAY
000-000,9999999,09/04/2025,SALARY EMPLOYER PAYROLL,,,2498.21,141931.4,PAY
000-000,9999999,07/04/2025,RENT,,-300.0,,139433.19,WDL
000-000,9999999,06/04/2025,SALARY EMPLOYER PAYROLL,,,2572.07,139733.19,PAY
000-000,9999999,05/04/2025,SALARY EMPLOYER PAYROLL,,,2542.82,137161.12,PAY
000-000,9999999,04/04/2025,SALARY EMPLOYER PAYROLL,,,2532.88,134618.3,PAY
000-000,9999999,01/04/2025,SALARY EMPLOYER PAYROLL,,,2560.57,132085.42,PAY
000-000,9999999,29/03/2025,SALARY EMPLOYER PAYROLL,,,2525.36,129524.85,PAY
000-000,9999999,28/03/2025,SALARY EMPLOYER PAYROLL,,,2444.17,126999.49,PAY
000-000,9999999,27/03/2025,SALARY EMPLOYER PAYROLL,,,2492.86,124555.32,PAY
000-000,9999999,25/03/2025,SALARY EMPLOYER PAYROLL,,,2473.79,122062.46,PAY
000-000,9999999,24/03/2025,SALARY EMPLOYER PAYROLL,,,2457.97,119588.67,PAY
000-000,9999999,23/03/2025,SALARY EMPLOYER PAYROLL,,,2421.97,117130.7,PAY
000-000,9999999,22/03/2025,SALARY EMPLOYER PAYROLL,,,2437.67,114708.73,PAY
000-000,9999999,21/03/2025,SALARY EMPLOYER PAYROLL,,,2492.39,112271.06,PAY
000-000,9999999,19/03/2025,SALARY EMPLOYER PAYROLL,,,2517.47,109778.67,PAY
000-000,9999999,18/03/2025,SALARY EMPLOYER PAYROLL,,,2594.72,107261.2,PAY
000-000,9999999,17/03/2025,SALARY EMPLOYER PAYROLL,,,2521.6,104666.48,PAY
000-000,9999999,12/03/2025,SALARY EMPLOYER PAYROLL,,,2554.47,102144.88,PAY
000-000,9999999,11/03/2025,SALARY EMPLOYER PAYROLL,,,2492.45,99590.41,PAY
000-000,9999999,09/03/2025,SALARY EMPLOYER PAYROLL,,,2408.43,97097.96,PAY
000-000,9999999,04/03/2025,SALARY EMPLOYER PAYROLL,,,2536.92,94689.53,PAY
000-000,9999999,03/03/2025,SALARY EMPLOYER PAYROLL,,,2535.49,92152.61,PAY
000-000,9999999,02/03/2025,SALARY EMPLOYER PAYROLL,,,2498.79,89617.12,PAY
000-000,9999999,28/02/2025,SALARY EMPLOYER PAYROLL,,,2420.77,87118.33,PAY
000-000,9999999,27/02/2025,SALARY EMPLOYER PAYROLL,,,2402.38,84697.56,PAY
000-000,9999999,26/02/2025,SALARY EMPLOYER PAYROLL,,,2595.8,82295.18,PAY
000-000,9999999,25/02/2025,SALARY EMPLOYER PAYROLL,,,2479.69,79699.38,PAY
000-000,9999999,23/02/2025,SALARY EMPLOYER PAYROLL,,,2519.04,77219.69,PAY
000-000,9999999,22/02/2025,SALARY EMPLOYER PAYROLL,,,2410.04,74700.65,PAY
000-000,9999999,19/02/2025,SALARY EMPLOYER PAYROLL,,,2461.99,72290.61,PAY
000-000,9999999,18/02/2025,SALARY EMPLOYER PAYROLL,,,2404.32,69828.62,PAY
000-000,9999999,17/02/2025,SALARY EMPLOYER PAYROLL,,,2471.1,67424.3,PAY
000-000,9999999,15/02/2025,SALARY EMPLOYER PAYROLL,,,2568.11,64953.2,PAY
000-000,9999999,14/02/2025,SALARY EMPLOYER PAYROLL,,,2535.25,62385.09,PAY
000-000,9999999,13/02/2025,SALARY EMPLOYER PAYROLL,,,2534.9,59849.84,PAY
000-000,9999999,12/02/2025,SALARY EMPLOYER PAYROLL,,,2536.32,57314.94,PAY
000-000,9999999,11/02/2025,SALARY EMPLOYER PAYROLL,,,2540.16,54778.62,PAY
000-000,9999999,10/02/2025,SALARY EMPLOYER PAYROLL,,,2449.43,52238.46,PAY
000-000,9999999,09/02/2025,SALARY EMPLOYER PAYROLL,,,2593.88,49789.03,PAY
000-000,9999999,08/02/2025,SALARY EMPLOYER PAYROLL,,,2551.81,47195.15,PAY
000-000,9999999,05/02/2025,SALARY EMPLOYER PAYROLL,,,2449.0,44643.34,PAY
000-000,9999999,01/02/2025,SALARY EMPLOYER PAYROLL,,,2575.15,42514.22,PAY
000-000,9999999,01/02/2025,IB TRANSFER TO SAVINGS,,-319.88,,42194.34,TFD
000-000,9999999,31/01/2025,IB TRANSFER TO SAVINGS,,-475.65,,39939.07,TFD
000-000,9999999,30/01/2025,SALARY EMPLOYER PAYROLL,,,2513.06,40414.72,PAY
000-000,9999999,29/01/2025,SALARY EMPLOYER PAYROLL,,,2434.82,37901.66,PAY
000-000,9999999,28/01/2025,SALARY EMPLOYER PAYROLL,,,2531.24,35466.84,PAY
000-000,9999999,25/01/2025,SALARY EMPLOYER PAYROLL,,,2581.65,32935.6,PAY
000-000,9999999,23/01/2025,SALARY EMPLOYER PAYROLL,,,2472.07,30353.95,PAY
000-000,9999999,20/01/2025,SALARY EMPLOYER PAYROLL,,,2485.39,27881.88,PAY
000-000,9999999,17/01/2025,SALARY EMPLOYER PAYROLL,,,2423.85,25396.49,PAY
000-000,9999999,16/01/2025,IB TRANSFER TO SAVINGS,,-158.26,,22972.64,TFD
000-000,9999999,15/01/2025,SALARY EMPLOYER PAYROLL,,,2437.96,23254.17,PAY
000-000,9999999,15/01/2025,IB TRANSFER TO SAVINGS,,-123.27,,23130.9,TFD
000-000,9999999,14/01/2025,SALARY EMPLOYER PAYROLL,,,2527.41,20816.21,PAY
000-000,9999999,12/01/2025,SALARY EMPLOYER PAYROLL,,,2476.9,18288.8,PAY
000-000,9999999,11/01/2025,SALARY EMPLOYER PAYROLL,,,2557.97,15811.9,PAY
000-000,9999999,09/01/2025,SALARY EMPLOYER PAYROLL,,,2401.5,13253.93,PAY
000-000,9999999,08/01/2025,SALARY EMPLOYER PAYROLL,,,2528.42,10852.43,PAY
000-000,9999999,07/01/2025,SALARY EMPLOYER PAYROLL,,,2505.98,8324.01,PAY
000-000,9999999,06/01/2025,SALARY EMPLOYER PAYROLL,,,2517.78,6118.03,PAY
000-000,9999999,06/01/2025,RENT,,-300.0,,5818.03,WDL
