date,amount,description,transaction_type,source
2025-04-04,-90.14,ALIEXPRESS NORTH SYDNEY,expense,ANZ
2025-04-04,-44.71,TERRY WHITE CHEMMART CLAREMONT,expense,ANZ
2025-04-05,2542.82,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-06,2572.07,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-07,-300.0,RENT,expense,Bankwest
2025-04-09,2498.21,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-09,-68.03,COLES PERTH,expense,ANZ
2025-04-10,2463.81,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-11,2518.63,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-12,2469.0,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-12,-15.59,VARSITY BAR FREMANTLE,expense,ANZ
2025-04-13,-57.63,BIG W PERTH,expense,ANZ
2025-04-14,-21.83,VARSITY BAR NORTHBRIDGE,expense,ANZ
2025-04-15,-92.93,ALDI MIDLAND,expense,ANZ
2025-04-17,2532.3,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-18,2506.33,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-18,-47.28,PRICELINE PHARMACY GARDEN CITY,expense,ANZ
2025-04-18,-137.34,ALDI CANNINGTON,expense,ANZ
2025-04-19,2411.81,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-20,2578.68,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-20,-32.0,FARMER JACKS SUBIACO,expense,ANZ
2025-04-22,3095.88,SALARY EMPLOYER PTY LTD,income,ANZ
2025-04-23,2493.06,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-24,2402.65,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-25,2597.6,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-26,2491.75,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-27,-47.78,GUZMAN Y GOMEZ FREMANTLE,expense,ANZ
2025-04-27,-64.87,HUNGRY JACK'S MIDLAND,expense,ANZ
2025-04-28,2434.12,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-28,-134.0,BIG W PERTH,expense,ANZ
2025-04-29,34.77,INTEREST PAYMENT,income,ANZ
2025-04-30,2528.01,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-30,-56.94,IGA SUBIACO,expense,ANZ
2025-05-01,2592.56,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-02,2493.99,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-02,-45.49,CHEMIST WAREHOUSE FREMANTLE,expense,ANZ
2025-05-03,-62.87,BUNNINGS INNALOO,expense,ANZ
2025-05-04,745.06,TAX REFUND ATO,income,ANZ
2025-05-04,-418.29,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-05-04,2413.09,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-04,-117.5,IGA SUBIACO,expense,ANZ
2025-05-04,-50.18,UBER SYDNEY,expense,ANZ
2025-05-05,2404.33,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-07,-12.82,NETFLIX SYDNEY,expense,ANZ
2025-05-09,-68.32,DOME CAFE COTTESLOE,expense,ANZ
2025-05-09,-54.85,AMPOL PERTH,expense,ANZ
2025-05-09,-68.87,EBAY SYDNEY,expense,ANZ
2025-05-10,2479.67,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-10,608.53,TAX REFUND ATO,income,ANZ
2025-05-11,3315.02,SALARY EMPLOYER PTY LTD,income,ANZ
2025-05-12,2508.74,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-13,2450.75,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-14,-59.06,CALTEX SOUTH PERTH,expense,ANZ
2025-05-14,-123.04,IGA MOUNT LAWLEY,expense,ANZ
2025-05-15,2541.03,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-15,-160.58,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-05-16,-30.32,GUZMAN Y GOMEZ PERTH,expense,ANZ
2025-05-16,-30.41,PRICELINE PHARMACY PERTH,expense,ANZ
2025-05-16,-69.42,SHELL PERTH,expense,ANZ
2025-05-16,2416.56,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-17,-178.07,WATER CORPORATION PERTH,expense,ANZ
2025-05-18,2474.73,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-19,-300.0,RENT,expense,Bankwest
2025-05-20,2524.61,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-21,2598.77,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-22,2573.83,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-24,-59.9,EBAY SYDNEY,expense,ANZ
2025-05-26,-300.0,RENT,expense,Bankwest
2025-05-27,2483.72,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-27,-12.04,APPLE.COM/BILL SYDNEY,expense,ANZ
2025-05-27,-126.54,FARMER JACKS FLOREAT,expense,ANZ
2025-05-28,2404.98,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-29,2546.65,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-29,-92.21,TRANSPERTH PERTH,expense,ANZ
2025-05-29,-270.32,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-05-30,2488.91,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-31,340.64,TAX REFUND ATO,income,ANZ
2025-05-31,-10.71,APPLE.COM/BILL SYDNEY,expense,ANZ
2025-05-31,2428.92,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-05-31,-100.77,IGA SUBIACO,expense,ANZ
2025-05-31,-27.7,TERRY WHITE CHEMMART CLAREMONT,expense,ANZ
2025-06-01,-110.7,FARMER JACKS FLOREAT,expense,ANZ
2025-06-02,2520.9,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-06-05,-69.75,ALDI PERTH,expense,ANZ
2025-06-05,-77.57,FARMER JACKS SUBIACO,expense,ANZ
2025-06-06,-84.75,WOOLWORTHS JOONDALUP,expense,ANZ
2025-06-06,2407.39,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-06-09,2465.19,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-06-10,2451.59,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-06-10,-169.95,COLES COTTESLOE,expense,ANZ
2025-06-10,48.13,INTEREST PAYMENT,income,ANZ
2025-06-10,-147.0,WATER CORPORATION PERTH,expense,ANZ
2025-06-11,2527.03,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-06-12,-8.81,STEAM PURCHASE SYDNEY,expense,ANZ
2025-06-12,2410.72,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-06-13,-39.69,SHELL CANNINGTON,expense,ANZ
2025-06-14,-177.56,TELSTRA PERTH,expense,ANZ
2025-06-14,2568.29,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-06-15,-47.84,ALIEXPRESS NORTH SYDNEY,expense,ANZ
2025-06-16,-44.48,FARMER JACKS WEMBLEY,expense,ANZ
2025-06-16,-300.0,RENT,expense,Bankwest
2025-06-16,-117.98,WOOLWORTHS SUBIACO,expense,ANZ
2025-06-17,-25.18,TERRY WHITE CHEMMART CLAREMONT,expense,ANZ
2025-06-17,-472.99,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-06-18,2580.07,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-06-18,-116.63,EBAY SYDNEY,expense,ANZ
2025-06-19,2425.66,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-06-19,-61.69,FARMER JACKS SUBIACO,expense,ANZ
2025-06-19,-22.89,HUNGRY JACK'S PERTH,expense,ANZ
2025-06-22,-16.98,SPOTIFY SYDNEY,expense,ANZ
2025-06-23,-300.0,RENT,expense,Bankwest
2025-06-24,2578.56,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-06-25,2479.52,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-06-27,-41.31,THE COFFEE CLUB CAROUSEL,expense,ANZ
2025-06-27,383.05,TAX REFUND ATO,income,ANZ
2025-06-28,78.6,REFUND,income,ANZ
2025-06-28,-40.65,THE COFFEE CLUB PERTH,expense,ANZ
2025-06-29,2407.51,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-06-30,-448.67,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-07-02,-43.21,BP NEDLANDS,expense,ANZ
2025-07-03,-100.65,HBF HEALTH LIMITED PERTH,expense,ANZ
2025-07-03,2504.46,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-04,2505.31,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-04,-103.38,FARMER JACKS SUBIACO,expense,ANZ
2025-07-06,2504.28,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-06,-73.3,EBAY SYDNEY,expense,ANZ
2025-07-07,-300.0,RENT,expense,Bankwest
2025-07-07,2531.58,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-08,-263.05,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-07-08,2542.76,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-08,-17.79,SPOTIFY SYDNEY,expense,ANZ
2025-07-10,2587.37,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-11,100.44,REFUND,income,ANZ
2025-07-12,-30.56,THE COFFEE CLUB GARDEN CITY,expense,ANZ
2025-07-12,-50.56,TARGET INNALOO,expense,ANZ
2025-07-13,2589.62,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-13,-134.96,IGA MOUNT LAWLEY,expense,ANZ
2025-07-14,-93.45,WOOLWORTHS SUBIACO,expense,ANZ
2025-07-14,-84.54,COLES CLAREMONT,expense,ANZ
2025-07-14,-61.98,COLES NEDLANDS,expense,ANZ
2025-07-14,-193.62,EBAY SYDNEY,expense,ANZ
2025-07-14,-88.38,COLES CLAREMONT,expense,ANZ
2025-07-14,-300.0,RENT,expense,Bankwest
2025-07-14,2435.29,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-16,102.87,REFUND,income,ANZ
2025-07-16,2434.16,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-18,-86.02,COLES COTTESLOE,expense,ANZ
2025-07-18,-46.61,SHELL PERTH,expense,ANZ
2025-07-19,2576.26,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-19,616.95,TAX REFUND ATO,income,ANZ
2025-07-20,2439.1,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-21,-18.32,SUBWAY PERTH,expense,ANZ
2025-07-21,2505.13,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-23,2460.35,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-23,-52.96,DOME CAFE FREMANTLE,expense,ANZ
2025-07-24,-96.66,KMART GARDEN CITY,expense,ANZ
2025-07-28,2479.98,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-28,-300.0,RENT,expense,Bankwest
2025-07-28,64.87,REFUND,income,ANZ
2025-07-28,-135.27,ALDI CANNINGTON,expense,ANZ
2025-07-29,-62.13,WOOLWORTHS JOONDALUP,expense,ANZ
2025-07-30,-12.95,SPOTIFY SYDNEY,expense,ANZ
2025-07-31,2410.14,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-01,-51.39,PRICELINE PHARMACY PERTH,expense,ANZ
2025-08-01,-57.11,COLES PERTH,expense,ANZ
2025-08-01,-42.25,CHEMIST WAREHOUSE PERTH,expense,ANZ
2025-08-01,-18.81,READING CINEMAS BELMONT,expense,ANZ
2025-08-03,56.13,REFUND,income,ANZ
2025-08-03,-44.53,EBAY SYDNEY,expense,ANZ
2025-08-04,-39.1,THE COFFEE CLUB GARDEN CITY,expense,ANZ
2025-08-04,-42.58,SHELL CANNINGTON,expense,ANZ
2025-08-05,2511.97,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-05,568.24,TAX REFUND ATO,income,ANZ
2025-08-06,-40.52,TERRY WHITE CHEMMART SUBIACO,expense,ANZ
2025-08-06,-461.53,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-08-07,-117.64,TARGET MORLEY,expense,ANZ
2025-08-07,-41.15,EBAY SYDNEY,expense,ANZ
2025-08-09,-8.12,NETFLIX SYDNEY,expense,ANZ
2025-08-10,2543.19,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-11,2477.05,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-13,-14.79,READING CINEMAS PERTH,expense,ANZ
2025-08-14,-173.43,SYNERGY PERTH,expense,ANZ
2025-08-14,2419.92,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-14,-89.35,FARMER JACKS WEMBLEY,expense,ANZ
2025-08-15,-46.81,VARSITY BAR NORTHBRIDGE,expense,ANZ
2025-08-16,-98.74,BUNNINGS OSBORNE PARK,expense,ANZ
2025-08-16,-86.45,COLES PERTH,expense,ANZ
2025-08-17,-32.32,AMAZON SYDNEY,expense,ANZ
2025-08-17,2532.84,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-18,-300.0,RENT,expense,Bankwest
2025-08-19,2478.51,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-19,-144.44,AMAZON SYDNEY,expense,ANZ
2025-08-20,2591.09,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-21,-43.1,KMART CAROUSEL,expense,ANZ
2025-08-22,-64.31,DOME CAFE FREMANTLE,expense,ANZ
2025-08-23,2464.97,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-24,2444.18,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-25,-34.92,PRICELINE PHARMACY GARDEN CITY,expense,ANZ
2025-08-25,82.27,REFUND,income,ANZ
2025-08-25,675.79,TAX REFUND ATO,income,ANZ
2025-08-25,-92.66,BUNNINGS OSBORNE PARK,expense,ANZ
2025-08-27,-54.49,IGA SUBIACO,expense,ANZ
2025-08-27,-57.01,HUNGRY JACK'S PERTH,expense,ANZ
2025-08-28,145.14,REFUND,income,ANZ
2025-08-28,2562.14,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-30,-139.66,ALDI MORLEY,expense,ANZ
2025-09-01,2539.73,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-01,-55.8,CHEMIST WAREHOUSE SUBIACO,expense,ANZ
2025-09-01,-102.42,FARMER JACKS FLOREAT,expense,ANZ
2025-09-02,2578.26,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-02,-79.17,COLES PERTH,expense,ANZ
2025-09-03,3025.92,SALARY EMPLOYER PTY LTD,income,ANZ
2025-09-03,2491.32,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-04,-65.05,HBF HEALTH LIMITED PERTH,expense,ANZ
2025-09-05,-113.01,COLES COTTESLOE,expense,ANZ
2025-09-05,2460.02,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-05,-91.68,ALIEXPRESS NORTH SYDNEY,expense,ANZ
2025-09-06,2579.24,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-08,2527.89,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-09,-66.77,EBAY SYDNEY,expense,ANZ
2025-09-11,-58.67,IGA MOUNT LAWLEY,expense,ANZ
2025-09-12,2594.61,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-13,-103.15,FARMER JACKS FLOREAT,expense,ANZ
2025-09-14,-48.05,CHEMIST WAREHOUSE FREMANTLE,expense,ANZ
2025-09-16,-110.32,SHELL PERTH,expense,ANZ
2025-09-17,2508.34,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-18,2415.4,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-18,2943.25,SALARY EMPLOYER PTY LTD,income,ANZ
2025-09-19,2520.64,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-19,-120.51,FARMER JACKS WEMBLEY,expense,ANZ
2025-09-20,-44.01,ALDI CANNINGTON,expense,ANZ
2025-09-20,-104.2,ALIEXPRESS NORTH SYDNEY,expense,ANZ
2025-09-21,-138.54,TELSTRA PERTH,expense,ANZ
2025-09-21,-70.03,FARMER JACKS SUBIACO,expense,ANZ
2025-09-23,-137.64,IGA MOUNT LAWLEY,expense,ANZ
2025-09-26,-9.45,SPOTIFY SYDNEY,expense,ANZ
2025-09-26,-67.86,SHELL MORLEY,expense,ANZ
2025-09-28,3470.22,SALARY EMPLOYER PTY LTD,income,ANZ
2025-09-29,6.89,INTEREST PAYMENT,income,ANZ
2025-09-29,433.09,TAX REFUND ATO,income,ANZ
2025-09-29,2430.48,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-29,-40.1,FARMER JACKS SUBIACO,expense,ANZ
2025-09-30,-318.14,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-09-30,2594.07,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-02,2495.87,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-02,-98.27,UBER SYDNEY,expense,ANZ
2025-10-04,2499.09,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-05,2525.24,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-06,-37.86,ALDI CANNINGTON,expense,ANZ
2025-10-08,-26.33,NANDO'S JOONDALUP,expense,ANZ
2025-10-09,2569.08,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-10,-96.59,BUNNINGS CANNINGTON,expense,ANZ
2025-10-10,-40.58,DOME CAFE COTTESLOE,expense,ANZ
2025-10-10,2424.75,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-11,-51.73,IGA LEEDERVILLE,expense,ANZ
2025-10-11,-371.2,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-10-12,-60.73,KMART CAROUSEL,expense,ANZ
2025-10-12,2451.89,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-13,-44.48,BUNNINGS OSBORNE PARK,expense,ANZ
2025-10-15,-79.76,TRANSPERTH PERTH,expense,ANZ
2025-10-16,42.97,INTEREST PAYMENT,income,ANZ
2025-10-17,-60.63,SUBWAY PERTH,expense,ANZ
2025-10-17,-74.23,ALDI MIDLAND,expense,ANZ
2025-10-17,2466.35,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-17,-58.46,HUNGRY JACK'S PERTH,expense,ANZ
2025-10-18,2477.02,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-18,-39.11,HUNGRY JACK'S PERTH,expense,ANZ
2025-10-20,-18.44,CHEMIST WAREHOUSE FREMANTLE,expense,ANZ
